kepid,koi_pdisposition,confidence,koi_period,koi_prad,koi_teq,koi_duration,koi_impact,koi_insol
9777990,FALSE POSITIVE,0.9113459150423758,14.3400358,0.68,248.0,5.7,0.006,0.89
6864891,FALSE POSITIVE,0.908679039958268,40.8801539,0.92,265.0,5.472,0.016,1.17
9116075,FALSE POSITIVE,0.9077676669602021,24.5002702,0.73,409.0,4.079,0.405,6.61
3654719,FALSE POSITIVE,0.9069947031712101,25.9200092,1.28,515.0,5.609,0.054,16.59
5685113,FALSE POSITIVE,0.9035013102371129,37.078668,0.8,419.0,4.403,0.5101,7.27
8414216,FALSE POSITIVE,0.9034341572698701,11.93137992,0.56,415.0,3.639,0.412,7.0
7024511,FALSE POSITIVE,0.8997737099913311,66.1544958,3.33,315.0,6.945,0.8526,2.33
3542117,FALSE POSITIVE,0.8997494555847386,12.5748872,1.03,349.0,3.549,0.035,3.49
9230021,FALSE POSITIVE,0.8994457217373846,26.936878,1.57,617.0,4.969,0.2807,34.24
7889486,FALSE POSITIVE,0.8990168608085973,24.2416103,1.61,596.0,5.137,0.069,29.92
5386264,FALSE POSITIVE,0.8984465315535864,12.435190544,0.52,545.0,3.8305,0.321,20.93
10023469,FALSE POSITIVE,0.8982270505193949,44.637111,1.28,432.0,5.868,0.029,8.22
3109937,FALSE POSITIVE,0.8979237612985953,37.809539,1.79,483.0,7.547,0.03,12.89
6436505,FALSE POSITIVE,0.8972804283197278,24.7222403,1.31,536.0,4.53,0.106,19.53
6021655,FALSE POSITIVE,0.8966483130060943,63.571688,2.14,399.0,6.01,0.7182,6.02
5124254,FALSE POSITIVE,0.8954879625365856,14.0498182,1.45,480.0,2.907,0.569,12.56
11100670,FALSE POSITIVE,0.8940025813942784,20.2340219,0.99,562.0,3.674,0.249,23.53
2445154,FALSE POSITIVE,0.8933117937164039,8.4120069,1.71,590.0,3.923,0.022,28.69
3945802,FALSE POSITIVE,0.8927727769870979,24.2157996,1.58,596.0,4.359,0.207,29.84
8938937,FALSE POSITIVE,0.8915983111091365,37.1083458,1.71,492.0,4.112,0.612,13.84
5443604,FALSE POSITIVE,0.8908804492272152,21.3910125,1.72,483.0,3.512,0.347,12.88
10031918,FALSE POSITIVE,0.8906237379295544,8.5900471,0.8,677.0,3.463,0.098,49.76
8227661,FALSE POSITIVE,0.8893741393060077,1.85373924,0.23,345.0,1.816,0.551,3.36
8803882,FALSE POSITIVE,0.8890184144978467,89.465468,2.57,549.0,9.88,0.931,21.43
10187017,FALSE POSITIVE,0.8889701116536122,22.4098677,0.73,489.0,2.271,0.869,13.55
10753922,FALSE POSITIVE,0.8874624514444801,18.2260472,1.85,648.0,3.664,0.378,41.67
9156957,FALSE POSITIVE,0.8861014502541763,3.6673005,0.62,627.0,3.373,0.1985,36.42
5955621,FALSE POSITIVE,0.8850369886877905,14.0801852,1.04,798.0,3.402,0.308,95.62
9474232,FALSE POSITIVE,0.8848858009461034,13.6917833,1.12,770.0,4.198,0.142,83.37
10214873,FALSE POSITIVE,0.884657059912452,5.959695593,1.13,937.0,1.8383,0.626,182.4
11305996,FALSE POSITIVE,0.883586495509015,55.7002642,1.18,309.0,4.285,0.2976,2.14
5992270,FALSE POSITIVE,0.8830580630417758,58.4302648,3.45,300.0,7.18,0.948,1.91
7021681,FALSE POSITIVE,0.8830378368660075,7.7333361,0.57,479.0,2.807,0.084,12.41
10141271,FALSE POSITIVE,0.8820203527461925,15.4032765,1.32,626.0,3.246,0.623,36.41
7588436,FALSE POSITIVE,0.8819519163653938,23.3924063,0.84,701.0,3.416,0.3153,57.23
4914737,FALSE POSITIVE,0.881801035114327,8.65311903,0.85,493.0,1.273,0.701,13.95
7982917,FALSE POSITIVE,0.8816091893601566,11.8045536,0.94,660.0,3.195,0.1533,44.76
9594184,FALSE POSITIVE,0.8811955280784176,42.093314,2.19,407.0,4.649,0.035,6.47
5193077,FALSE POSITIVE,0.8811756950015062,22.2941485,1.5,760.0,3.188,0.709,78.93
11081512,FALSE POSITIVE,0.8810581002069142,15.7397651,1.18,536.0,3.297,0.077,19.54
6766583,FALSE POSITIVE,0.8805649419605923,63.024229,1.5,424.0,5.77,0.0223,7.66
6462874,FALSE POSITIVE,0.8805152562152821,10.42360821,1.67,515.0,5.404,0.001,16.64
10473272,FALSE POSITIVE,0.8802335230517666,17.6604653,1.76,690.0,2.837,0.689,53.57
10002261,FALSE POSITIVE,0.879834399491113,12.713794177,2.31,181.0,2.44093,0.485,0.26
7373877,FALSE POSITIVE,0.8798060969522217,32.669962587,1.37,428.0,3.581,0.18,7.96
6263468,FALSE POSITIVE,0.878947174284708,10.1955065,1.02,661.0,2.447,0.5396,45.18
4349442,FALSE POSITIVE,0.878807580435496,12.720298433,1.37,589.0,2.4599,0.805,28.37
9636563,FALSE POSITIVE,0.8787407967297092,10.63609504,1.36,728.0,3.48,0.029,66.5
7889486,FALSE POSITIVE,0.8782945105122539,24.2382519,2.19,597.0,2.703,0.82,29.92
4754831,FALSE POSITIVE,0.8776600639353579,55.119831,1.68,622.0,4.703,0.6049,35.48
4169315,FALSE POSITIVE,0.877606294826581,30.9587224,2.34,686.0,4.411,0.765,52.49
5080565,FALSE POSITIVE,0.8773325049451358,49.312677,2.84,342.0,4.057,0.5998,3.22
12644774,FALSE POSITIVE,0.8771844261188333,41.0772969,3.25,523.0,5.525,0.03,17.74
11255231,FALSE POSITIVE,0.8769503631791137,13.6550963,1.35,780.0,4.117,0.235,87.46
7841368,FALSE POSITIVE,0.8767666868381455,25.3710555,1.43,779.0,3.739,0.742,87.17
3547760,FALSE POSITIVE,0.8766861562083055,9.8480917,0.88,711.0,3.079,0.127,60.47
3533469,FALSE POSITIVE,0.8762867997947152,10.21507506,1.5,780.0,3.395,0.1,87.48
6864893,FALSE POSITIVE,0.8762649546036024,40.8792243,1.62,437.0,7.005,0.79,8.59
8395860,FALSE POSITIVE,0.8761479433119098,20.8822079,3.63,661.0,4.556,0.1364,45.17
7210749,FALSE POSITIVE,0.875864115419663,17.5859472,2.24,700.0,3.815,0.042,56.81
3098843,FALSE POSITIVE,0.8752702804082603,29.9756697,1.84,591.0,2.987,0.8708,28.85
6936966,FALSE POSITIVE,0.875214746535077,36.4721523,0.7,527.0,2.673,0.738,18.29
6142862,FALSE POSITIVE,0.8748819426386224,5.33459393,0.79,627.0,2.642,0.158,36.55
7811057,FALSE POSITIVE,0.8747123731854974,99.97889,1.84,463.0,8.76,0.3044,10.84
4577484,FALSE POSITIVE,0.8744457632674615,73.26417,1.32,584.0,5.54,0.4719,27.47
4571004,FALSE POSITIVE,0.874128972755758,81.675841,1.31,420.0,11.53,0.3455,7.33
7662209,FALSE POSITIVE,0.8736366595988103,14.6494599,1.0,574.0,2.883,0.175,25.65
6145201,FALSE POSITIVE,0.8735539121554783,22.7832776,1.33,759.0,4.194,0.626,78.41
10420301,FALSE POSITIVE,0.8733715533896266,45.4333769,2.23,315.0,6.351,0.959,2.34
5471617,FALSE POSITIVE,0.8733347098690325,94.38163,2.04,537.0,11.87,0.593,19.72
3003992,FALSE POSITIVE,0.8733090256564,13.55480534,0.62,679.0,2.288,0.497,50.41
4357985,FALSE POSITIVE,0.8731782674220467,8.65298599,1.36,734.0,1.549,0.529,68.48
9785921,FALSE POSITIVE,0.8731348347637573,73.506021,2.37,471.0,5.734,0.473,11.66
4150703,FALSE POSITIVE,0.8730974629701573,8.6532378,0.96,793.0,2.974,0.359,93.75
10514429,FALSE POSITIVE,0.8723708540718482,20.7191626,1.85,790.0,3.912,0.016,92.2
5737869,FALSE POSITIVE,0.8722439560780868,26.2402438,1.16,583.0,3.024,0.36,27.36
10812504,FALSE POSITIVE,0.8711912628715474,79.9201319,1.81,217.0,4.482,0.623,0.53
9347066,FALSE POSITIVE,0.8704129326568022,20.004714,0.89,577.0,2.952,0.18,26.19
6462874,FALSE POSITIVE,0.8702241457156893,22.34293693,2.92,399.0,7.0813,0.001,6.01
2713018,FALSE POSITIVE,0.8700959174087224,66.713573,0.98,555.0,4.487,0.4916,22.47
5353137,FALSE POSITIVE,0.8700288777759249,31.5073649,0.74,253.0,7.362,0.774,0.97
10686814,FALSE POSITIVE,0.8697924082007965,2.61846258,1.03,843.0,3.505,0.013,119.68
8397947,FALSE POSITIVE,0.8692765659206956,39.0930875,2.99,602.0,5.687,0.862,31.11
9674564,FALSE POSITIVE,0.8692009530152278,6.873655305,1.21,906.0,3.5415,0.08,159.51
10611420,FALSE POSITIVE,0.869179721054476,11.50528603,1.83,912.0,2.098,0.461,163.79
8127586,FALSE POSITIVE,0.8687010090558734,16.6094904,1.82,766.0,3.189,0.631,81.28
10749128,FALSE POSITIVE,0.8683481004587685,125.0426,1.2,416.0,8.99,0.5215,7.06
8625813,FALSE POSITIVE,0.8682371317588241,45.3965379,1.97,326.0,3.826,0.085,2.66
7185487,FALSE POSITIVE,0.8682333476743221,0.53482911,0.54,753.0,0.996,0.3597,75.82
5702939,FALSE POSITIVE,0.8680316971653906,18.3980827,1.26,686.0,4.438,0.587,52.31
11599038,FALSE POSITIVE,0.867880954747623,17.4217322,1.42,727.0,4.718,0.415,65.92
10730250,FALSE POSITIVE,0.8674723098614883,13.667809025,0.91,705.0,2.7993,0.212,58.32
8746295,FALSE POSITIVE,0.8672697554153073,6.85567248,1.27,897.0,2.268,0.479,153.07
6307083,FALSE POSITIVE,0.8669718572891592,75.3787816,1.6,360.0,5.268,0.046,3.97
7021534,FALSE POSITIVE,0.8667266556554263,9.06557317,1.46,880.0,1.6208,0.432,141.9
9965184,FALSE POSITIVE,0.8665478947174843,16.2276756,2.11,648.0,3.699,0.633,41.57
9394762,FALSE POSITIVE,0.8661023570068949,77.138911,3.39,406.0,7.229,0.981,6.46
8937762,FALSE POSITIVE,0.8658840109361755,15.07277287,1.73,635.0,0.7794,0.891,38.57
6383595,FALSE POSITIVE,0.8657762700974615,24.9097436,2.24,912.0,3.856,0.5729,163.58
12401132,FALSE POSITIVE,0.865624911111936,12.083457,2.09,932.0,3.536,0.1069,178.53
6137779,FALSE POSITIVE,0.8653778477492675,21.5324915,1.47,876.0,4.156,0.5366,139.32
6768616,FALSE POSITIVE,0.8649658095701995,8.8249556,1.1,928.0,2.976,0.21,175.17
10925113,FALSE POSITIVE,0.8645613084632813,11.7761073,1.31,619.0,2.829,0.829,34.75
7692093,FALSE POSITIVE,0.8644908725443634,91.172033,1.58,360.0,6.676,0.005,3.96
12012872,FALSE POSITIVE,0.8642288736563397,14.395425,0.85,672.0,5.12,0.398,48.08
892772,FALSE POSITIVE,0.8637449846686156,5.09246539,1.17,844.0,3.659,0.161,119.7
3953173,FALSE POSITIVE,0.8635206492571897,2.41795911,0.53,878.0,2.727,0.145,140.54
7269493,FALSE POSITIVE,0.8634286171405966,76.642481,1.36,542.0,5.476,0.1653,20.44
7138841,FALSE POSITIVE,0.8632164119489468,22.0495604,1.9,912.0,3.428,0.651,163.51
4371172,FALSE POSITIVE,0.8619552277101976,73.992267,2.86,546.0,5.692,0.446,20.98
9357375,FALSE POSITIVE,0.861841756893848,1.58826263,0.47,862.0,2.655,0.021,130.67
8956706,FALSE POSITIVE,0.8618342858518051,8.3806973,1.91,701.0,3.028,0.5317,57.04
4349442,FALSE POSITIVE,0.8618043410207155,6.238315363,0.7,746.0,2.501,0.707,73.27
3120397,FALSE POSITIVE,0.8613745850880568,20.5311708,1.39,568.0,5.67,0.547,24.52
10340212,FALSE POSITIVE,0.8610812865368084,0.93374894,0.18,433.0,4.637,0.457,8.36
5282051,FALSE POSITIVE,0.86069621321726,5.91037674,1.38,937.0,3.421,0.123,182.47
4927738,FALSE POSITIVE,0.860642980293672,19.545185,0.76,790.0,1.597,0.5474,92.09
8260234,FALSE POSITIVE,0.8604424531788659,5.71483873,1.26,842.0,2.748,0.134,118.73
6351097,FALSE POSITIVE,0.8598993107635284,12.49117388,1.36,763.0,2.848,0.747,80.08
11098573,FALSE POSITIVE,0.8594493588486851,15.6937855,1.99,755.0,5.149,0.2227,76.79
8179286,FALSE POSITIVE,0.8590355605368926,11.4132144,1.03,925.0,2.371,0.439,172.97
4150701,FALSE POSITIVE,0.8583809965370477,8.65315602,1.37,643.0,2.627,0.049,40.5
4274816,FALSE POSITIVE,0.8583663703624582,14.3641542,0.98,795.0,2.629,0.2764,94.33
8703884,FALSE POSITIVE,0.8580964784168228,14.17098745,4.19,608.0,3.4804,0.041,32.22
10319341,FALSE POSITIVE,0.8579300962412763,40.1043796,1.5,591.0,3.471,0.2029,28.85
6675056,FALSE POSITIVE,0.8576710399199906,10.44331991,2.66,667.0,2.743,0.23,46.94
3230753,FALSE POSITIVE,0.8574328333283336,17.7337356,1.24,597.0,5.558,0.514,29.95
3001885,FALSE POSITIVE,0.8573391903758717,2.67596808,1.57,998.0,2.021,0.115,234.19
5653152,FALSE POSITIVE,0.8572566033820093,3.58957045,2.49,862.0,3.418,0.002,131.02
3858757,FALSE POSITIVE,0.8572086748544263,25.9534494,2.06,554.0,6.001,0.6188,22.3
3330684,FALSE POSITIVE,0.8570300500270719,1.26132769,0.14,447.0,1.244,0.289,9.46
3657176,FALSE POSITIVE,0.8567190051787653,17.4166143,1.84,723.0,2.445,0.489,64.73
9777087,FALSE POSITIVE,0.8566400475596077,19.226055,3.52,513.0,2.949,0.2579,16.32
8358012,FALSE POSITIVE,0.8561632752621948,10.06478627,1.49,729.0,2.86,0.729,66.74
9845931,FALSE POSITIVE,0.8556444201756734,61.224558,2.76,525.0,4.103,0.571,17.89
5816144,FALSE POSITIVE,0.8555290205296479,7.384681,1.22,1000.0,3.548,0.068,236.56
10098844,FALSE POSITIVE,0.855495405212242,35.080928,1.21,610.0,6.92,0.712,32.63
7257363,FALSE POSITIVE,0.8554907100446518,5.23340265,1.15,851.0,3.242,0.366,124.02
9770983,FALSE POSITIVE,0.8553522491137264,7.02932339,0.92,974.0,2.853,0.098,212.66
7769815,FALSE POSITIVE,0.8552689460055352,4.43529675,1.15,1026.0,2.117,0.353,261.33
10484409,FALSE POSITIVE,0.8551371879377301,10.6784787,1.12,712.0,2.307,0.271,60.7
5513833,FALSE POSITIVE,0.8551219776243786,0.755101141,0.19,680.0,3.371,0.523,50.92
8233802,FALSE POSITIVE,0.8539930504006176,69.3788597,2.07,421.0,3.807,0.539,7.4
6599305,FALSE POSITIVE,0.8539490197953451,42.02646,1.5,561.0,2.553,0.7156,23.47
6705137,FALSE POSITIVE,0.8538902104112347,5.59727625,1.26,975.0,1.659,0.403,213.15
10662202,FALSE POSITIVE,0.853679662838751,36.5521313,0.9,361.0,2.481,0.4969,4.03
5211922,FALSE POSITIVE,0.8535643474614173,27.6853358,3.11,461.0,4.661,0.897,10.67
8766268,FALSE POSITIVE,0.8534683243869736,5.29731736,1.13,989.0,3.341,0.192,226.1
9119568,FALSE POSITIVE,0.85310968959083,5.54867998,0.68,882.0,4.665,0.095,143.26
7891264,FALSE POSITIVE,0.8526181398653604,25.166806,2.72,483.0,2.111,0.65,12.84
11099109,FALSE POSITIVE,0.85220169398031,115.28415,2.05,374.0,11.39,0.39,4.63
4386607,FALSE POSITIVE,0.85214174631882,5.99321872,1.23,952.0,3.92,0.02,194.41
5905728,FALSE POSITIVE,0.8520418607591368,7.87173698,0.54,862.0,2.619,0.001,130.96
6692833,FALSE POSITIVE,0.8519574451425973,10.80487163,1.71,857.0,2.7215,0.207,127.84
9643210,FALSE POSITIVE,0.8518781210132857,3.850304552,0.28,407.0,1.5337,0.29,6.44
7811537,FALSE POSITIVE,0.8518535340087984,16.9341628,1.71,798.0,3.94,0.662,95.78
11757422,FALSE POSITIVE,0.8511638360228205,1.81993557,0.66,907.0,2.43,0.768,159.62
4551663,FALSE POSITIVE,0.8511625371865682,12.07760884,1.03,708.0,2.233,0.264,59.51
3644505,FALSE POSITIVE,0.8510182635667276,119.72007,1.26,410.0,9.48,0.025,6.67
4548162,FALSE POSITIVE,0.8509409977760529,10.0102876,0.69,522.0,5.33,0.5667,17.56
5736801,FALSE POSITIVE,0.8509376664933649,6.6751871,1.09,890.0,2.372,0.251,148.28
11775530,FALSE POSITIVE,0.8507674553324476,12.8177012,1.21,999.0,3.465,0.0006,235.16
6422367,FALSE POSITIVE,0.8505273693904466,4.33144839,1.07,939.0,2.58,0.291,183.62
2305819,FALSE POSITIVE,0.8504785468621627,135.57186,0.83,439.0,9.94,0.2687,8.77
12107008,FALSE POSITIVE,0.8503916986642301,5.93725628,0.86,891.0,3.639,0.351,148.97
10621666,FALSE POSITIVE,0.8503153583760292,14.5862195,1.17,702.0,2.733,0.0133,57.32
2576197,FALSE POSITIVE,0.8502682350010825,8.874603,1.24,1070.0,2.88,0.1897,309.5
6307063,FALSE POSITIVE,0.8502180836685349,75.378004,3.82,455.0,6.744,0.989,10.13
12306808,FALSE POSITIVE,0.850127951340027,7.334073405,1.42,870.0,2.7308,0.559,135.81
4754831,FALSE POSITIVE,0.8499339141043143,25.6416117,1.76,803.0,5.5,0.5744,98.5
8672910,FALSE POSITIVE,0.8491229677421331,5.71489488,1.41,908.0,2.0705,0.0125,160.68
6521174,FALSE POSITIVE,0.8490692931590071,8.27923132,1.08,815.0,2.355,0.187,104.49
10005020,FALSE POSITIVE,0.8490285630618731,6.97106919,2.07,946.0,3.9125,0.044,189.16
3003992,FALSE POSITIVE,0.8488406182873541,7.24476126,0.65,837.0,2.3145,0.04,116.02
2852528,FALSE POSITIVE,0.848804436636437,11.9615433,2.24,847.0,3.129,0.576,121.71
5014903,FALSE POSITIVE,0.8487240292405749,7.72768833,1.89,899.0,2.06,0.203,154.46
6065010,FALSE POSITIVE,0.8486785754713375,159.05846,1.54,376.0,10.08,0.7004,4.73
9910828,FALSE POSITIVE,0.8485614798045958,8.48032079,0.95,759.0,5.791,0.004,78.45
